source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
Q00899	P02340	Yy1	Tp53	True	True	True	True	True	False	A
A0A979HLR9	P33434	A0A979HLR9	Mmp2	True	True	False	True	True	False	A
O70494	P33434	Sp3	Mmp2	True	True	False	True	True	False	A
A2A5C3	P33434	A2A5C3	Mmp2	True	True	False	True	True	False	A
P16951	P39689	Atf2	Cdkn1a	True	True	False	True	True	False	A
P01108	P30280	Myc	Ccnd2	True	True	False	True	True	False	A
P08046	P25446	Egr1	Fas	True	False	True	True	False	True	A
P26323	Q62312	Fli1	Tgfbr2	True	True	True	True	True	False	A
A0A979HLR9	Q07813	A0A979HLR9	Bax	True	True	False	True	True	False	A
P27577	P02340	Ets1	Tp53	True	True	False	True	True	False	A
P15037	P02340	Ets2	Tp53	True	True	False	True	True	False	A
P08046	Q61127	Egr1	Nab2	True	True	False	True	True	False	A
P02340	P11440	Tp53	Cdk1	True	False	True	True	False	True	A
Q60641	P51162	Nr1h4	Fabp6	True	True	False	True	True	False	A
P02340	P46414	Tp53	Cdkn1b	True	True	False	True	True	False	A
A0A0G2JEM8	P05627	A0A0G2JEM8	Jun	True	True	True	True	True	False	A
A0A087WSP5	P15314	A0A087WSP5	Irf1	True	True	True	True	True	False	A
P15314	A0A087WSP5	Irf1	A0A087WSP5	True	True	False	False	False	False	B
P23204	P12242	Ppara	Ucp1	True	True	True	True	True	False	A
P28033	P06880	Cebpb	Gh1	True	True	False	True	True	False	A
P01101	P28033	Fos	Cebpb	True	True	False	False	False	False	C
P28033	P01101	Cebpb	Fos	True	True	False	True	True	False	A
P81269	P18893	Atf1	Il10	True	True	False	True	True	False	A
Q01147	P18893	Creb1	Il10	True	True	False	True	True	False	A
Q04207	P08505	Rela	Il6	True	True	True	True	True	False	A
P17433	D3YYP8	Spi1	D3YYP8	True	True	False	True	True	False	A
Q61069	P24860	Usf1	Ccnb1	True	True	False	True	True	False	A
P19091	P01108	Ar	Myc	True	True	False	True	True	False	A
A0A979HLR9	A0A0R4J088	A0A979HLR9	A0A0R4J088	True	True	False	True	True	False	A
P25799	P13597	Nfkb1	Icam1	True	True	False	True	True	False	A
P27577	A0A0R4J0A4	Ets1	A0A0R4J0A4	True	True	False	True	True	False	A
P25799	Q3UPN1	Nfkb1	Q3UPN1	True	True	False	True	True	False	A
Q04207	P13597	Rela	Icam1	True	True	False	True	True	False	A
Q04207	Q3UPN1	Rela	Q3UPN1	True	True	False	True	True	False	A
P02340	Q9QXV3	Tp53	Ing1	True	True	False	True	True	False	A
Q6PZD9	P08071	Cebpe	Ltf	True	True	False	True	True	False	A
Q61069	P97929	Usf1	Brca2	True	True	False	True	True	False	A
Q60775	P97929	Elf1	Brca2	True	True	False	True	True	False	A
Q64705	P97929	Usf2	Brca2	True	True	False	True	True	False	A
A0A979HLR9	P06804	A0A979HLR9	Tnf	True	True	True	True	True	False	A
